Metabolite,Z-Score New
CL(14:1/14:1/14:1/15:1),-0.212312498
CL(15:0/15:0/15:0/16:1),0.194853855
CL(18:2/18:1/18:1/20:4),0.203977838
CL(18:2/18:2/16:1/16:1),-0.417328145
CL(18:2/18:2/18:1/18:1),0.613388857
CL(18:2/18:2/18:2/16:1),-0.347828591
CL(18:2/18:2/18:2/18:1),-0.290371913
CL(18:2/18:2/18:2/18:2),-0.078162909
CL(18:2/18:2/18:2/20:4),-0.118716461
CL(18:2/18:2/18:2/22:6),-0.133728092
CL(22:1/22:1/22:1/14:1),0.836915599
CL(24:1/24:1/24:1/14:1),-0.291428663
Cortisone,-0.24962304
Estradiol,-0.223079046
Chenodeoxycholic acid,0.207481765
Uracil,-0.068111869
Thymidine,0.231347078
SM(d18:1/26:1),0.588044145
SM(d18:1/26:1 OH),1.055665407
PI(30:2),0.438878248
SM(d18:1/26:2),0.542329941
SM(d18:1/24:0),0.007603529
SM(d18:1/24:2),0.478424665
Taurochenodesoxycholic acid,0.147170221
SM(d18:1/24:1),1.115339614
SM(d18:1/16:1),0.272821047
SM(d18:1/18:2),0.220714937
SM(d18:1/22:1),0.649929035
SM(d18:1/26:0),0.992963369
SM(d18:1/26:0 OH),0.704703099
SM(d18:1/16:0),0.683267009
Deoxyadenosine diphosphate,-0.005087644
SM(d18:1/25:0) or SM(d18:1/24:1 OH),0.826626972
"PS(18:0/20:4(8Z,11Z,14Z,17Z))",1.655157026
SM(d18:1/26:2 OH),0.497576175
SM(d18:1/22:0),0.462066666
SM(d18:1/22:1 OH),0.721815639
SM(d18:1/24:0 OH),0.446186605
SM(d18:1/24:2 OH),1.374958037
SM(d18:1/20:0 OH),0.488783158
PI(32:2),0.509799454
SM(d18:1/18:0 OH),0.340258101
SM(d18:1/22:0 OH),-0.110276515
SM(d18:1/22:2 OH),0.158537418
SM(d18:1/18:1(9Z)),0.955945261
ATP,0.513007066
Curcumin,0.261288468
SM(d18:1/20:1),0.08077679
PS(36:2),-0.230457283
SM(d18:1/20:1 OH),0.304272367
Anserine,0.708858905
Cholesteryl sulfate,0.427225485
PS(18:0/18:1(9Z)),0.44832508
Hexacosanoic acid,0.732550917
PE(32:2),0.010470108
Tetracosanoic acid,0.411078929
